harga,kota,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
2200000000.0,Bekasi,Jatibening,154.0,154.0,3.0,2.0
703000000.0,Bekasi,Jatibening,75.0,55.0,2.0,1.0
1050000000.0,Bekasi,Jatibening,72.0,108.0,3.0,2.0
1050000000.0,Bekasi,Jatibening,72.0,108.0,3.0,2.0
950000000.0,Bekasi,Bekasi Utara,66.0,87.0,3.0,2.0
2190000000.0,Bekasi,Bekasi Utara,136.0,150.0,3.0,3.0
950000000.0,Bekasi,Bekasi Utara,66.0,87.0,3.0,2.0
999000000.0,Bekasi,Bekasi Utara,75.0,99.0,3.0,2.0
2100000000.0,Bekasi,Bekasi Utara,104.0,120.0,3.0,3.0
545000000.0,Bekasi,Bekasi Utara,72.0,42.0,2.0,1.0
725000000.0,Bekasi,Bekasi Utara,80.0,121.0,3.0,2.0
463000000.0,Bekasi,Bekasi Utara,60.0,29.0,2.0,1.0
575000000.0,Bekasi,Bekasi Utara,98.0,165.0,4.0,2.0
320000000.0,Bekasi,Bekasi Utara,108.0,135.0,2.0,1.0
468000000.0,Bekasi,Bekasi Utara,72.0,45.0,2.0,1.0
168000000.0,Bekasi,Bekasi Utara,60.0,29.0,2.0,1.0
875000000.0,Bekasi,Bekasi Utara,90.0,75.0,3.0,1.0
496000000.0,Bekasi,Bekasi Utara,72.0,36.0,2.0,1.0
779000000.0,Bekasi,Bekasi Utara,53.0,63.0,3.0,2.0
800000000.0,Bekasi,Bekasi Utara,90.0,69.0,3.0,1.0
800000000.0,Bekasi,Bekasi Utara,90.0,69.0,3.0,1.0
764000000.0,Bekasi,Bekasi Utara,78.0,83.0,3.0,3.0
1600000000.0,Bekasi,Bekasi Utara,186.0,200.0,4.0,3.0
1150000000.0,Bekasi,Bekasi Utara,105.0,140.0,4.0,3.0
764000000.0,Bekasi,Bekasi Utara,78.0,83.0,3.0,3.0
42000000.0,Bekasi,Bekasi Utara,60.0,40.0,2.0,2.0
1350000000.0,Bekasi,Bekasi Utara,180.0,150.0,2.0,2.0
2200000000.0,Bekasi,Bekasi Utara,210.0,230.0,4.0,2.0
2000000000.0,Bekasi,Bekasi Utara,118.0,71.0,3.0,3.0
625000000.0,Bekasi,Rawalumbu,75.0,48.0,2.0,1.0
1000000000.0,Bekasi,Rawalumbu,150.0,196.0,4.0,2.0
9000000000.0,Bekasi,Rawalumbu,939.0,500.0,36.0,36.0
1600000000.0,Bekasi,Tambun Selatan,119.0,100.0,2.0,2.0
680000000.0,Bekasi,Tambun Selatan,72.0,36.0,2.0,1.0
490000000.0,Bekasi,Tambun Selatan,72.0,45.0,2.0,1.0
665000000.0,Bekasi,Tambun Selatan,97.0,54.0,3.0,1.0
445000000.0,Bekasi,Tambun Selatan,97.0,54.0,2.0,1.0
570000000.0,Bekasi,Tambun Selatan,97.0,54.0,2.0,1.0
1050000000.0,Bekasi,Tambun Selatan,119.0,84.0,2.0,1.0
1500000000.0,Bekasi,Tambun Selatan,250.0,180.0,2.0,1.0
665000000.0,Bekasi,Tambun Selatan,97.0,54.0,3.0,1.0
665000000.0,Bekasi,Tambun Selatan,97.0,54.0,3.0,1.0
950000000.0,Bekasi,Harapan Baru,66.0,87.0,3.0,2.0
650000000.0,Bekasi,Harapan Baru,72.0,60.0,2.0,1.0
975000000.0,Bekasi,Harapan Baru,120.0,60.0,3.0,1.0
799000000.0,Bekasi,Pondokmelati,97.0,70.0,2.0,1.0
3700000000.0,Bekasi,Pondokmelati,216.0,300.0,3.0,4.0
950000000.0,Bekasi,Babelan,66.0,87.0,3.0,2.0
350000000.0,Bekasi,Babelan,60.0,36.0,2.0,1.0
524000000.0,Bekasi,Babelan,40.0,66.0,2.0,1.0
325000000.0,Bekasi,Babelan,60.0,45.0,2.0,1.0
325000000.0,Bekasi,Babelan,60.0,45.0,2.0,1.0
335000000.0,Bekasi,Babelan,60.0,45.0,3.0,1.0
310000000.0,Bekasi,Babelan,60.0,45.0,2.0,1.0
1500000000.0,Bekasi,Babelan,120.0,88.0,3.0,2.0
1500000000.0,Bekasi,Babelan,120.0,88.0,3.0,2.0
6640000000.0,Bekasi,Babelan,72.0,39.0,2.0,1.0
327000000.0,Bekasi,Babelan,36.0,61.0,2.0,1.0
332000000.0,Bekasi,Babelan,36.0,61.0,2.0,1.0
395000000.0,Bekasi,Babelan,60.0,40.0,2.0,1.0
168000000.0,Bekasi,Babelan,60.0,29.0,2.0,1.0
480000000.0,Bekasi,Babelan,72.0,72.0,2.0,1.0
395000000.0,Bekasi,Babelan,60.0,40.0,2.0,1.0
360000000.0,Bekasi,Babelan,62.0,62.0,2.0,1.0
350000000.0,Bekasi,Babelan,72.0,45.0,2.0,1.0
370000000.0,Bekasi,Babelan,60.0,75.0,3.0,2.0
320000000.0,Bekasi,Babelan,60.0,45.0,2.0,1.0
853000000.0,Bekasi,Babelan,55.0,60.0,2.0,1.0
