luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
225.0,211.0,6.0,4.0
160.0,128.0,4.0,4.0
153.0,150.0,3.0,2.0
220.0,123.0,3.0,2.0
216.0,96.0,2.0,1.0
55.0,86.0,2.0,1.0
78.0,41.0,2.0,1.0
60.0,80.0,3.0,2.0
60.0,80.0,3.0,2.0
65.0,90.0,3.0,2.0
216.0,100.0,2.0,1.0
78.0,83.0,3.0,3.0
78.0,83.0,3.0,3.0
113.0,85.0,4.0,3.0
70.0,70.0,3.0,2.0
125.0,160.0,3.0,2.0
209.0,300.0,4.0,4.0
209.0,300.0,6.0,5.0
500.0,450.0,6.0,4.0
102.0,150.0,3.0,2.0
209.0,300.0,6.0,5.0
98.0,80.0,2.0,2.0
181.0,180.0,3.0,3.0
487.0,650.0,11.0,4.0
90.0,135.0,3.0,3.0
90.0,70.0,2.0,2.0
90.0,54.0,2.0,1.0
120.0,120.0,3.0,1.0
60.0,60.0,1.0,1.0
120.0,88.0,3.0,2.0
90.0,54.0,2.0,1.0
90.0,54.0,2.0,1.0
120.0,88.0,2.0,1.0
105.0,130.0,3.0,2.0
105.0,130.0,3.0,2.0
56.0,63.0,3.0,2.0
53.0,63.0,3.0,2.0
90.0,54.0,2.0,1.0
90.0,54.0,2.0,1.0
72.0,60.0,2.0,1.0
75.0,35.0,2.0,1.0
72.0,45.0,2.0,1.0
120.0,90.0,2.0,1.0
82.0,68.0,3.0,3.0
240.0,150.0,5.0,2.0
200.0,180.0,5.0,4.0
60.0,30.0,2.0,1.0
60.0,40.0,2.0,1.0
60.0,30.0,2.0,1.0
60.0,36.0,2.0,1.0
123.0,100.0,4.0,1.0
120.0,100.0,3.0,2.0
150.0,100.0,3.0,2.0
50.0,100.0,3.0,2.0
72.0,90.0,3.0,2.0
194.0,200.0,3.0,2.0
52.0,45.0,2.0,1.0
90.0,150.0,4.0,2.0
72.0,108.0,3.0,2.0
136.0,66.0,3.0,2.0
84.0,77.0,3.0,3.0
105.0,95.0,4.0,3.0
84.0,77.0,3.0,2.0
60.0,38.0,2.0,1.0
84.0,62.0,2.0,2.0
78.0,54.0,2.0,2.0
72.0,36.0,2.0,1.0
78.0,83.0,3.0,3.0
78.0,83.0,3.0,3.0
78.0,83.0,3.0,3.0
150.0,195.0,3.0,3.0
50.0,68.0,2.0,2.0
158.0,272.0,4.0,3.0
50.0,68.0,2.0,2.0
108.0,80.0,3.0,2.0
66.0,87.0,3.0,2.0
95.0,150.0,4.0,2.0
95.0,150.0,4.0,2.0
66.0,30.0,2.0,1.0
120.0,100.0,3.0,2.0
91.0,60.0,2.0,1.0
100.0,85.0,2.0,1.0
66.0,100.0,3.0,2.0
66.0,100.0,3.0,2.0
66.0,100.0,3.0,2.0
72.0,135.0,3.0,2.0
168.0,250.0,4.0,3.0
72.0,110.0,3.0,2.0
72.0,110.0,3.0,2.0
200.0,400.0,3.0,4.0
150.0,165.0,5.0,3.0
179.0,250.0,5.0,3.0
78.0,55.0,4.0,2.0
90.0,105.0,3.0,3.0
126.0,165.0,6.0,4.0
60.0,36.0,2.0,1.0
107.0,90.0,3.0,1.0
200.0,143.0,3.0,2.0
164.0,156.0,7.0,2.0
105.0,110.0,2.0,2.0
78.0,83.0,3.0,3.0
78.0,83.0,3.0,3.0
194.0,90.0,3.0,2.0
72.0,45.0,2.0,2.0
90.0,100.0,3.0,2.0
60.0,38.0,3.0,1.0
60.0,50.0,2.0,1.0
72.0,36.0,2.0,1.0
27.0,72.0,2.0,1.0
70.0,40.0,2.0,1.0
80.0,121.0,3.0,2.0
120.0,80.0,2.0,1.0
60.0,53.0,3.0,2.0
77.0,42.0,2.0,1.0
84.0,58.0,2.0,1.0
72.0,48.0,2.0,1.0
1070.0,720.0,5.0,4.0
72.0,90.0,3.0,2.0
144.0,133.0,4.0,4.0
84.0,70.0,2.0,2.0
348.0,430.0,5.0,4.0
82.0,60.0,3.0,2.0
72.0,36.0,3.0,1.0
60.0,50.0,2.0,1.0
60.0,50.0,2.0,1.0
60.0,45.0,2.0,1.0
119.0,80.0,2.0,1.0
60.0,45.0,2.0,1.0
110.0,70.0,2.0,1.0
110.0,70.0,2.0,2.0
60.0,45.0,2.0,1.0
60.0,45.0,2.0,1.0
119.0,80.0,2.0,1.0
78.0,150.0,4.0,2.0
60.0,45.0,2.0,1.0
60.0,42.0,2.0,1.0
74.0,70.0,2.0,2.0
241.0,140.0,5.0,3.0
220.0,300.0,3.0,2.0
93.0,80.0,2.0,2.0
180.0,180.0,3.0,1.0
72.0,50.0,2.0,1.0
180.0,150.0,2.0,2.0
90.0,69.0,3.0,1.0
135.0,117.0,4.0,2.0
93.0,80.0,3.0,2.0
65.0,80.0,3.0,2.0
375.0,385.0,4.0,2.0
79.0,90.0,3.0,2.0
70.0,90.0,3.0,2.0
135.0,78.0,2.0,1.0
70.0,50.0,2.0,1.0
72.0,36.0,2.0,1.0
80.0,120.0,2.0,2.0
72.0,54.0,2.0,1.0
72.0,50.0,2.0,1.0
200.0,143.0,3.0,2.0
112.0,112.0,3.0,2.0
126.0,140.0,6.0,3.0
60.0,36.0,2.0,1.0
100.0,45.0,2.0,1.0
60.0,50.0,3.0,1.0
60.0,80.0,3.0,2.0
105.0,75.0,2.0,1.0
78.0,54.0,2.0,1.0
90.0,55.0,2.0,2.0
78.0,45.0,3.0,2.0
78.0,70.0,3.0,2.0
72.0,60.0,2.0,1.0
84.0,45.0,2.0,1.0
72.0,48.0,2.0,1.0
542.0,300.0,6.0,2.0
90.0,170.0,3.0,2.0
90.0,170.0,3.0,2.0
182.0,220.0,4.0,2.0
114.0,70.0,3.0,2.0
225.0,300.0,3.0,2.0
225.0,300.0,3.0,2.0
94.0,160.0,3.0,2.0
140.0,100.0,4.0,3.0
129.0,100.0,3.0,2.0
264.0,400.0,8.0,3.0
923.0,401.0,4.0,5.0
1064.0,800.0,5.0,4.0
90.0,70.0,3.0,1.0
90.0,110.0,3.0,2.0
90.0,80.0,2.0,1.0
1400.0,300.0,4.0,3.0
420.0,400.0,5.0,5.0
2916.0,500.0,2.0,6.0
90.0,150.0,3.0,2.0
90.0,110.0,3.0,2.0
162.0,196.0,4.0,2.0
105.0,150.0,3.0,2.0
2916.0,500.0,3.0,2.0
70.0,90.0,3.0,1.0
90.0,110.0,3.0,2.0
105.0,150.0,3.0,2.0
144.0,200.0,5.0,6.0
300.0,520.0,4.0,4.0
517.0,305.0,4.0,3.0
312.0,250.0,4.0,3.0
514.0,340.0,3.0,3.0
224.0,90.0,2.0,1.0
90.0,100.0,2.0,2.0
216.0,120.0,2.0,3.0
481.0,242.0,4.0,3.0
90.0,90.0,2.0,1.0
139.0,130.0,3.0,2.0
90.0,100.0,2.0,2.0
150.0,62.0,2.0,1.0
216.0,110.0,2.0,4.0
323.0,500.0,4.0,4.0
117.0,160.0,5.0,3.0
144.0,105.0,3.0,2.0
137.0,40.0,2.0,1.0
358.0,250.0,3.0,2.0
350.0,620.0,8.0,6.0
126.0,102.0,3.0,2.0
329.0,275.0,3.0,4.0
663.0,300.0,4.0,3.0
518.0,515.0,4.0,5.0
450.0,800.0,6.0,5.0
94.0,96.0,3.0,2.0
180.0,300.0,4.0,4.0
2786.0,1500.0,5.0,5.0
575.0,200.0,3.0,2.0
360.0,400.0,4.0,4.0
150.0,62.0,2.0,1.0
90.0,70.0,3.0,1.0
150.0,63.0,2.0,1.0
84.0,89.0,3.0,2.0
84.0,89.0,3.0,2.0
90.0,150.0,3.0,2.0
313.0,360.0,4.0,5.0
2786.0,1500.0,5.0,5.0
299.0,125.0,3.0,2.0
299.0,125.0,3.0,2.0
220.0,221.0,4.0,3.0
183.0,145.0,3.0,3.0
120.0,240.0,4.0,4.0
90.0,70.0,3.0,1.0
84.0,89.0,3.0,2.0
84.0,89.0,3.0,2.0
90.0,150.0,3.0,2.0
150.0,62.0,2.0,1.0
144.0,88.0,3.0,2.0
543.0,495.0,4.0,4.0
396.0,299.0,4.0,3.0
396.0,299.0,4.0,3.0
321.0,500.0,4.0,4.0
313.0,360.0,4.0,5.0
575.0,200.0,3.0,2.0
340.0,400.0,4.0,4.0
150.0,63.0,2.0,1.0
518.0,515.0,4.0,5.0
483.0,500.0,5.0,6.0
180.0,300.0,4.0,4.0
105.0,60.0,2.0,2.0
396.0,299.0,4.0,3.0
84.0,89.0,3.0,2.0
321.0,500.0,4.0,4.0
84.0,89.0,3.0,2.0
90.0,150.0,3.0,2.0
90.0,70.0,3.0,1.0
90.0,70.0,3.0,1.0
84.0,89.0,3.0,2.0
518.0,515.0,4.0,5.0
313.0,360.0,4.0,5.0
340.0,400.0,4.0,4.0
575.0,200.0,3.0,2.0
90.0,150.0,3.0,2.0
84.0,89.0,3.0,2.0
321.0,500.0,4.0,4.0
150.0,63.0,2.0,1.0
321.0,500.0,4.0,4.0
396.0,299.0,4.0,3.0
526.0,400.0,4.0,4.0
299.0,125.0,3.0,2.0
543.0,495.0,4.0,4.0
526.0,400.0,4.0,4.0
108.0,62.0,2.0,1.0
396.0,299.0,4.0,3.0
144.0,88.0,3.0,3.0
299.0,125.0,3.0,2.0
84.0,60.0,2.0,2.0
329.0,299.0,3.0,4.0
498.0,400.0,4.0,4.0
330.0,362.0,3.0,3.0
141.0,141.0,5.0,3.0
375.0,450.0,4.0,3.0
334.0,350.0,4.0,2.0
81.0,65.0,3.0,2.0
90.0,65.0,2.0,2.0
127.0,200.0,3.0,3.0
90.0,90.0,2.0,1.0
180.0,300.0,4.0,4.0
90.0,70.0,3.0,1.0
127.0,200.0,3.0,3.0
141.0,141.0,5.0,3.0
375.0,450.0,4.0,3.0
334.0,350.0,4.0,2.0
81.0,65.0,3.0,2.0
90.0,65.0,2.0,2.0
90.0,70.0,3.0,1.0
90.0,90.0,2.0,1.0
180.0,300.0,4.0,4.0
90.0,150.0,3.0,2.0
90.0,70.0,3.0,1.0
